1788556958.275127 server started (14521): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788556958.275150 on Linux 7.1.13-200.fc44.x86_64 #1 SMP PREEMPT_DYNAMIC Wed Sep  2 13:58:38 UTC 2026
1788556958.275167 using libevent 2.1.12-stable poll
1788556958.275174 using ncurses 6.6 20251230
1788556958.344232 yylex_token: end at WS
1788556958.344238 yylex_token: send
1788556958.344244 yylex_token: end at WS
1788556958.344250 yylex_token: -N
1788556958.344256 yylex_token: end at WS
1788556958.344262 yylex_token: %%
1788556958.344269 cmd_parse_build_commands 0:0: bind
1788556958.344275 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.344281 cmd_parse_build_commands 0:2: M-9
1788556958.344288 cmd_parse_build_commands 0:3 0:0: command-prompt
1788556958.344294 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1788556958.344300 cmd_parse_build_commands 0:3 0:2: -I9
1788556958.344306 cmd_parse_build_commands 0:3 0:3 0:0: send
1788556958.344312 cmd_parse_build_commands 0:3 0:3 0:1: -N
1788556958.344318 cmd_parse_build_commands 0:3 0:3 0:2: %%
1788556958.344325 cmd_parse_build_commands 0:0: command-prompt
1788556958.344331 cmd_parse_build_commands 0:1: -Np(repeat)
1788556958.344337 cmd_parse_build_commands 0:2: -I9
1788556958.344343 cmd_parse_build_commands 0:3 0:0: send
1788556958.344349 cmd_parse_build_commands 0:3 0:1: -N
1788556958.344354 cmd_parse_build_commands 0:3 0:2: %%
1788556958.344360 cmd_parse_build_commands 0:0: send
1788556958.344368 cmd_parse_build_commands 0:1: -N
1788556958.344373 cmd_parse_build_commands 0:2: %%
1788556958.344381 args_parse_flags: next -N
1788556958.344387 args_parse_flag_argument: -N = %%
1788556958.344392 args_parse: flags end at 3 of 3
1788556958.344400 cmd_parse_build_commands: send-keys -N "%%"
1788556958.344405 args_parse_flags: next -Np(repeat)
1788556958.344411 args_parse_flags: -N
1788556958.344417 args_parse_flag_argument: -p = (repeat)
1788556958.344423 args_parse_flags: next -I9
1788556958.344429 args_parse_flag_argument: -I = 9
1788556958.344435 args_parse: flags end at 3 of 4
1788556958.344442 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1788556958.344455 cmd_parse_build_commands: command-prompt -N -I 9 -p (repeat) { send-keys -N "%%" }
1788556958.344462 args_parse_flags: next -Tcopy-mode
1788556958.344468 args_parse_flag_argument: -T = copy-mode
1788556958.344476 args_parse_flags: next M-9
1788556958.344481 args_parse: flags end at 2 of 4
1788556958.344487 args_parse: 2 = M-9 (type STRING)
1788556958.344496 args_parse: 3 = command-prompt -N -I 9 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1788556958.344505 cmd_parse_build_commands: bind-key -T copy-mode M-9 { command-prompt -N -I 9 -p (repeat) { send-keys -N "%%" } }
1788556958.344512 cmdq_get_command: [bind-key/0x55e89ab579d0] group 1945
1788556958.344518 cmdq_append <global>: [bind-key/0x55e89ab579d0]
1788556958.344524 yylex_token: end at WS
1788556958.344530 yylex_token: bind
1788556958.344536 yylex_token: end at WS
1788556958.344542 yylex_token: -Tcopy-mode
1788556958.344549 yylex_token: end at WS
1788556958.344555 yylex_token: M-<
1788556958.344561 yylex_token: end at WS
1788556958.344567 yylex_token: send
1788556958.344573 yylex_token: end at WS
1788556958.344579 yylex_token: -X
1788556958.344585 yylex_token: end at WS
1788556958.344591 yylex_token: history-top
1788556958.344598 cmd_parse_build_commands 0:0: bind
1788556958.344604 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.344610 cmd_parse_build_commands 0:2: M-<
1788556958.344616 cmd_parse_build_commands 0:3 0:0: send
1788556958.344622 cmd_parse_build_commands 0:3 0:1: -X
1788556958.344628 cmd_parse_build_commands 0:3 0:2: history-top
1788556958.344635 cmd_parse_build_commands 0:0: send
1788556958.344641 cmd_parse_build_commands 0:1: -X
1788556958.344647 cmd_parse_build_commands 0:2: history-top
1788556958.344654 args_parse_flags: next -X
1788556958.344660 args_parse_flags: -X
1788556958.344666 args_parse_flags: next history-top
1788556958.344671 args_parse: flags end at 2 of 3
1788556958.344677 args_parse: 2 = history-top (type STRING)
1788556958.344685 cmd_parse_build_commands: send-keys -X history-top
1788556958.344692 args_parse_flags: next -Tcopy-mode
1788556958.344698 args_parse_flag_argument: -T = copy-mode
1788556958.344704 args_parse_flags: next M-<
1788556958.344709 args_parse: flags end at 2 of 4
1788556958.344715 args_parse: 2 = M-< (type STRING)
1788556958.344723 args_parse: 3 = send-keys -X history-top (type COMMANDS)
1788556958.344731 cmd_parse_build_commands: bind-key -T copy-mode M-< { send-keys -X history-top }
1788556958.344738 cmdq_get_command: [bind-key/0x55e89ab58b40] group 1957
1788556958.344744 cmdq_append <global>: [bind-key/0x55e89ab58b40]
1788556958.344750 yylex_token: end at WS
1788556958.344756 yylex_token: bind
1788556958.344762 yylex_token: end at WS
1788556958.344768 yylex_token: -Tcopy-mode
1788556958.344774 yylex_token: end at WS
1788556958.344780 yylex_token: M->
1788556958.344785 yylex_token: end at WS
1788556958.344791 yylex_token: send
1788556958.344809 yylex_token: end at WS
1788556958.344835 yylex_token: -X
1788556958.344842 yylex_token: end at WS
1788556958.344848 yylex_token: history-bottom
1788556958.344854 cmd_parse_build_commands 0:0: bind
1788556958.344861 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.344867 cmd_parse_build_commands 0:2: M->
1788556958.344873 cmd_parse_build_commands 0:3 0:0: send
1788556958.344879 cmd_parse_build_commands 0:3 0:1: -X
1788556958.344885 cmd_parse_build_commands 0:3 0:2: history-bottom
1788556958.344892 cmd_parse_build_commands 0:0: send
1788556958.344898 cmd_parse_build_commands 0:1: -X
1788556958.344904 cmd_parse_build_commands 0:2: history-bottom
1788556958.344911 args_parse_flags: next -X
1788556958.344917 args_parse_flags: -X
1788556958.344923 args_parse_flags: next history-bottom
1788556958.344929 args_parse: flags end at 2 of 3
1788556958.344935 args_parse: 2 = history-bottom (type STRING)
1788556958.344942 cmd_parse_build_commands: send-keys -X history-bottom
1788556958.344949 args_parse_flags: next -Tcopy-mode
1788556958.344955 args_parse_flag_argument: -T = copy-mode
1788556958.344961 args_parse_flags: next M->
1788556958.344971 args_parse: flags end at 2 of 4
1788556958.344979 args_parse: 2 = M-> (type STRING)
1788556958.344986 args_parse: 3 = send-keys -X history-bottom (type COMMANDS)
1788556958.344998 cmd_parse_build_commands: bind-key -T copy-mode M-> { send-keys -X history-bottom }
1788556958.345004 cmdq_get_command: [bind-key/0x55e89ab59000] group 1965
1788556958.345011 cmdq_append <global>: [bind-key/0x55e89ab59000]
1788556958.345017 yylex_token: end at WS
1788556958.345023 yylex_token: bind
1788556958.345029 yylex_token: end at WS
1788556958.345035 yylex_token: -Tcopy-mode
1788556958.345041 yylex_token: end at WS
1788556958.345047 yylex_token: M-R
1788556958.345054 yylex_token: end at WS
1788556958.345059 yylex_token: send
1788556958.345066 yylex_token: end at WS
1788556958.345072 yylex_token: -X
1788556958.345078 yylex_token: end at WS
1788556958.345083 yylex_token: top-line
1788556958.345089 cmd_parse_build_commands 0:0: bind
1788556958.345095 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.345101 cmd_parse_build_commands 0:2: M-R
1788556958.345108 cmd_parse_build_commands 0:3 0:0: send
1788556958.345114 cmd_parse_build_commands 0:3 0:1: -X
1788556958.345120 cmd_parse_build_commands 0:3 0:2: top-line
1788556958.345126 cmd_parse_build_commands 0:0: send
1788556958.345132 cmd_parse_build_commands 0:1: -X
1788556958.345139 cmd_parse_build_commands 0:2: top-line
1788556958.345146 args_parse_flags: next -X
1788556958.345152 args_parse_flags: -X
1788556958.345158 args_parse_flags: next top-line
1788556958.345164 args_parse: flags end at 2 of 3
1788556958.345170 args_parse: 2 = top-line (type STRING)
1788556958.345177 cmd_parse_build_commands: send-keys -X top-line
1788556958.345183 args_parse_flags: next -Tcopy-mode
1788556958.345189 args_parse_flag_argument: -T = copy-mode
1788556958.345195 args_parse_flags: next M-R
1788556958.345201 args_parse: flags end at 2 of 4
1788556958.345207 args_parse: 2 = M-R (type STRING)
1788556958.345214 args_parse: 3 = send-keys -X top-line (type COMMANDS)
1788556958.345222 cmd_parse_build_commands: bind-key -T copy-mode M-R { send-keys -X top-line }
1788556958.345229 cmdq_get_command: [bind-key/0x55e89ab59560] group 1973
1788556958.345235 cmdq_append <global>: [bind-key/0x55e89ab59560]
1788556958.345241 yylex_token: end at WS
1788556958.345247 yylex_token: bind
1788556958.345253 yylex_token: end at WS
1788556958.345259 yylex_token: -Tcopy-mode
1788556958.345265 yylex_token: end at WS
1788556958.345272 yylex_token: M-b
1788556958.345278 yylex_token: end at WS
1788556958.345284 yylex_token: send
1788556958.345290 yylex_token: end at WS
1788556958.345296 yylex_token: -X
1788556958.345302 yylex_token: end at WS
1788556958.345308 yylex_token: previous-word
1788556958.345315 cmd_parse_build_commands 0:0: bind
1788556958.345321 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.345327 cmd_parse_build_commands 0:2: M-b
1788556958.345333 cmd_parse_build_commands 0:3 0:0: send
1788556958.345339 cmd_parse_build_commands 0:3 0:1: -X
1788556958.345345 cmd_parse_build_commands 0:3 0:2: previous-word
1788556958.345351 cmd_parse_build_commands 0:0: send
1788556958.345358 cmd_parse_build_commands 0:1: -X
1788556958.345364 cmd_parse_build_commands 0:2: previous-word
1788556958.345371 args_parse_flags: next -X
1788556958.345377 args_parse_flags: -X
1788556958.345383 args_parse_flags: next previous-word
1788556958.345389 args_parse: flags end at 2 of 3
1788556958.345396 args_parse: 2 = previous-word (type STRING)
1788556958.345403 cmd_parse_build_commands: send-keys -X previous-word
1788556958.345409 args_parse_flags: next -Tcopy-mode
1788556958.345415 args_parse_flag_argument: -T = copy-mode
1788556958.345421 args_parse_flags: next M-b
1788556958.345427 args_parse: flags end at 2 of 4
1788556958.345433 args_parse: 2 = M-b (type STRING)
1788556958.345440 args_parse: 3 = send-keys -X previous-word (type COMMANDS)
1788556958.345448 cmd_parse_build_commands: bind-key -T copy-mode M-b { send-keys -X previous-word }
1788556958.345455 cmdq_get_command: [bind-key/0x55e89ab59a70] group 1981
1788556958.345466 cmdq_append <global>: [bind-key/0x55e89ab59a70]
1788556958.345473 yylex_token: end at WS
1788556958.345479 yylex_token: bind
1788556958.345486 yylex_token: end at WS
1788556958.345492 yylex_token: -Tcopy-mode
1788556958.345498 yylex_token: end at WS
1788556958.345504 yylex_token: C-M-b
1788556958.345510 yylex_token: end at WS
1788556958.345516 yylex_token: send
1788556958.345522 yylex_token: end at WS
1788556958.345528 yylex_token: -X
1788556958.345535 yylex_token: end at WS
1788556958.345541 yylex_token: previous-matching-bracket
1788556958.345547 cmd_parse_build_commands 0:0: bind
1788556958.345554 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.345560 cmd_parse_build_commands 0:2: C-M-b
1788556958.345566 cmd_parse_build_commands 0:3 0:0: send
1788556958.345571 cmd_parse_build_commands 0:3 0:1: -X
1788556958.345579 cmd_parse_build_commands 0:3 0:2: previous-matching-bracket
1788556958.345585 cmd_parse_build_commands 0:0: send
1788556958.345590 cmd_parse_build_commands 0:1: -X
1788556958.345596 cmd_parse_build_commands 0:2: previous-matching-bracket
1788556958.345605 args_parse_flags: next -X
1788556958.345611 args_parse_flags: -X
1788556958.345621 args_parse_flags: next previous-matching-bracket
1788556958.345627 args_parse: flags end at 2 of 3
1788556958.345633 args_parse: 2 = previous-matching-bracket (type STRING)
1788556958.345641 cmd_parse_build_commands: send-keys -X previous-matching-bracket
1788556958.345647 args_parse_flags: next -Tcopy-mode
1788556958.345653 args_parse_flag_argument: -T = copy-mode
1788556958.345659 args_parse_flags: next C-M-b
1788556958.345665 args_parse: flags end at 2 of 4
1788556958.345671 args_parse: 2 = C-M-b (type STRING)
1788556958.345679 args_parse: 3 = send-keys -X previous-matching-bracket (type COMMANDS)
1788556958.345688 cmd_parse_build_commands: bind-key -T copy-mode C-M-b { send-keys -X previous-matching-bracket }
1788556958.345697 cmdq_get_command: [bind-key/0x55e89ab59fa0] group 1989
1788556958.345704 cmdq_append <global>: [bind-key/0x55e89ab59fa0]
1788556958.345710 yylex_token: end at WS
1788556958.345716 yylex_token: bind
1788556958.345722 yylex_token: end at WS
1788556958.345728 yylex_token: -Tcopy-mode
1788556958.345735 yylex_token: end at WS
1788556958.345741 yylex_token: M-f
1788556958.345747 yylex_token: end at WS
1788556958.345753 yylex_token: send
1788556958.345759 yylex_token: end at WS
1788556958.345765 yylex_token: -X
1788556958.345771 yylex_token: end at WS
1788556958.345778 yylex_token: next-word-end
1788556958.345784 cmd_parse_build_commands 0:0: bind
1788556958.345790 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.345796 cmd_parse_build_commands 0:2: M-f
1788556958.345816 cmd_parse_build_commands 0:3 0:0: send
1788556958.345822 cmd_parse_build_commands 0:3 0:1: -X
1788556958.345828 cmd_parse_build_commands 0:3 0:2: next-word-end
1788556958.345834 cmd_parse_build_commands 0:0: send
1788556958.345841 cmd_parse_build_commands 0:1: -X
1788556958.345847 cmd_parse_build_commands 0:2: next-word-end
1788556958.345854 args_parse_flags: next -X
1788556958.345860 args_parse_flags: -X
1788556958.345866 args_parse_flags: next next-word-end
1788556958.345872 args_parse: flags end at 2 of 3
1788556958.345878 args_parse: 2 = next-word-end (type STRING)
1788556958.345885 cmd_parse_build_commands: send-keys -X next-word-end
1788556958.345892 args_parse_flags: next -Tcopy-mode
1788556958.345898 args_parse_flag_argument: -T = copy-mode
1788556958.345904 args_parse_flags: next M-f
1788556958.345910 args_parse: flags end at 2 of 4
1788556958.345916 args_parse: 2 = M-f (type STRING)
1788556958.345923 args_parse: 3 = send-keys -X next-word-end (type COMMANDS)
1788556958.345931 cmd_parse_build_commands: bind-key -T copy-mode M-f { send-keys -X next-word-end }
1788556958.345938 cmdq_get_command: [bind-key/0x55e89ab5a4f0] group 1997
1788556958.345944 cmdq_append <global>: [bind-key/0x55e89ab5a4f0]
1788556958.345950 yylex_token: end at WS
1788556958.345956 yylex_token: bind
1788556958.345962 yylex_token: end at WS
1788556958.345969 yylex_token: -Tcopy-mode
1788556958.345975 yylex_token: end at WS
1788556958.345982 yylex_token: C-M-f
1788556958.345991 yylex_token: end at WS
1788556958.345997 yylex_token: send
1788556958.346002 yylex_token: end at WS
1788556958.346008 yylex_token: -X
1788556958.346016 yylex_token: end at WS
1788556958.346021 yylex_token: next-matching-bracket
1788556958.346029 cmd_parse_build_commands 0:0: bind
1788556958.346034 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.346040 cmd_parse_build_commands 0:2: C-M-f
1788556958.346046 cmd_parse_build_commands 0:3 0:0: send
1788556958.346052 cmd_parse_build_commands 0:3 0:1: -X
1788556958.346059 cmd_parse_build_commands 0:3 0:2: next-matching-bracket
1788556958.346065 cmd_parse_build_commands 0:0: send
1788556958.346071 cmd_parse_build_commands 0:1: -X
1788556958.346078 cmd_parse_build_commands 0:2: next-matching-bracket
1788556958.346086 args_parse_flags: next -X
1788556958.346091 args_parse_flags: -X
1788556958.346097 args_parse_flags: next next-matching-bracket
1788556958.346103 args_parse: flags end at 2 of 3
1788556958.346109 args_parse: 2 = next-matching-bracket (type STRING)
1788556958.346118 cmd_parse_build_commands: send-keys -X next-matching-bracket
1788556958.346124 args_parse_flags: next -Tcopy-mode
1788556958.346129 args_parse_flag_argument: -T = copy-mode
1788556958.346135 args_parse_flags: next C-M-f
1788556958.346141 args_parse: flags end at 2 of 4
1788556958.346148 args_parse: 2 = C-M-f (type STRING)
1788556958.346156 args_parse: 3 = send-keys -X next-matching-bracket (type COMMANDS)
1788556958.346164 cmd_parse_build_commands: bind-key -T copy-mode C-M-f { send-keys -X next-matching-bracket }
1788556958.346171 cmdq_get_command: [bind-key/0x55e89ab5aa80] group 2005
1788556958.346177 cmdq_append <global>: [bind-key/0x55e89ab5aa80]
1788556958.346183 yylex_token: end at WS
1788556958.346189 yylex_token: bind
1788556958.346195 yylex_token: end at WS
1788556958.346201 yylex_token: -Tcopy-mode
1788556958.346207 yylex_token: end at WS
1788556958.346213 yylex_token: M-m
1788556958.346220 yylex_token: end at WS
1788556958.346226 yylex_token: send
1788556958.346232 yylex_token: end at WS
1788556958.346238 yylex_token: -X
1788556958.346243 yylex_token: end at WS
1788556958.346251 yylex_token: back-to-indentation
1788556958.346257 cmd_parse_build_commands 0:0: bind
1788556958.346262 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.346268 cmd_parse_build_commands 0:2: M-m
1788556958.346276 cmd_parse_build_commands 0:3 0:0: send
1788556958.346281 cmd_parse_build_commands 0:3 0:1: -X
1788556958.346287 cmd_parse_build_commands 0:3 0:2: back-to-indentation
1788556958.346293 cmd_parse_build_commands 0:0: send
1788556958.346300 cmd_parse_build_commands 0:1: -X
1788556958.346306 cmd_parse_build_commands 0:2: back-to-indentation
1788556958.346314 args_parse_flags: next -X
1788556958.346319 args_parse_flags: -X
1788556958.346325 args_parse_flags: next back-to-indentation
1788556958.346331 args_parse: flags end at 2 of 3
1788556958.346338 args_parse: 2 = back-to-indentation (type STRING)
1788556958.346346 cmd_parse_build_commands: send-keys -X back-to-indentation
1788556958.346352 args_parse_flags: next -Tcopy-mode
1788556958.346357 args_parse_flag_argument: -T = copy-mode
1788556958.346363 args_parse_flags: next M-m
1788556958.346369 args_parse: flags end at 2 of 4
1788556958.346375 args_parse: 2 = M-m (type STRING)
1788556958.346382 args_parse: 3 = send-keys -X back-to-indentation (type COMMANDS)
1788556958.346394 cmd_parse_build_commands: bind-key -T copy-mode M-m { send-keys -X back-to-indentation }
1788556958.346400 cmdq_get_command: [bind-key/0x55e89ab5b050] group 2013
1788556958.346407 cmdq_append <global>: [bind-key/0x55e89ab5b050]
1788556958.346413 yylex_token: end at WS
1788556958.346419 yylex_token: bind
1788556958.346425 yylex_token: end at WS
1788556958.346431 yylex_token: -Tcopy-mode
1788556958.346437 yylex_token: end at WS
1788556958.346443 yylex_token: M-r
1788556958.346450 yylex_token: end at WS
1788556958.346456 yylex_token: send
1788556958.346462 yylex_token: end at WS
1788556958.346468 yylex_token: -X
1788556958.346479 yylex_token: end at WS
1788556958.346487 yylex_token: middle-line
1788556958.346493 cmd_parse_build_commands 0:0: bind
1788556958.346499 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.346505 cmd_parse_build_commands 0:2: M-r
1788556958.346511 cmd_parse_build_commands 0:3 0:0: send
1788556958.346515 cmd_parse_build_commands 0:3 0:1: -X
1788556958.346521 cmd_parse_build_commands 0:3 0:2: middle-line
1788556958.346527 cmd_parse_build_commands 0:0: send
1788556958.346533 cmd_parse_build_commands 0:1: -X
1788556958.346538 cmd_parse_build_commands 0:2: middle-line
1788556958.346545 args_parse_flags: next -X
1788556958.346552 args_parse_flags: -X
1788556958.346557 args_parse_flags: next middle-line
1788556958.346562 args_parse: flags end at 2 of 3
1788556958.346568 args_parse: 2 = middle-line (type STRING)
1788556958.346575 cmd_parse_build_commands: send-keys -X middle-line
1788556958.346579 args_parse_flags: next -Tcopy-mode
1788556958.346585 args_parse_flag_argument: -T = copy-mode
1788556958.346590 args_parse_flags: next M-r
1788556958.346595 args_parse: flags end at 2 of 4
1788556958.346601 args_parse: 2 = M-r (type STRING)
1788556958.346608 args_parse: 3 = send-keys -X middle-line (type COMMANDS)
1788556958.346615 cmd_parse_build_commands: bind-key -T copy-mode M-r { send-keys -X middle-line }
1788556958.346622 cmdq_get_command: [bind-key/0x55e89ab5b540] group 2021
1788556958.346627 cmdq_append <global>: [bind-key/0x55e89ab5b540]
1788556958.346633 yylex_token: end at WS
1788556958.346639 yylex_token: bind
1788556958.346645 yylex_token: end at WS
1788556958.346650 yylex_token: -Tcopy-mode
1788556958.346655 yylex_token: end at WS
1788556958.346661 yylex_token: M-v
1788556958.346667 yylex_token: end at WS
1788556958.346673 yylex_token: send
1788556958.346679 yylex_token: end at WS
1788556958.346685 yylex_token: -X
1788556958.346692 yylex_token: end at WS
1788556958.346697 yylex_token: page-up
1788556958.346703 cmd_parse_build_commands 0:0: bind
1788556958.346708 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.346714 cmd_parse_build_commands 0:2: M-v
1788556958.346718 cmd_parse_build_commands 0:3 0:0: send
1788556958.346724 cmd_parse_build_commands 0:3 0:1: -X
1788556958.346729 cmd_parse_build_commands 0:3 0:2: page-up
1788556958.346735 cmd_parse_build_commands 0:0: send
1788556958.346741 cmd_parse_build_commands 0:1: -X
1788556958.346746 cmd_parse_build_commands 0:2: page-up
1788556958.346753 args_parse_flags: next -X
1788556958.346758 args_parse_flags: -X
1788556958.346764 args_parse_flags: next page-up
1788556958.346769 args_parse: flags end at 2 of 3
1788556958.346775 args_parse: 2 = page-up (type STRING)
1788556958.346781 cmd_parse_build_commands: send-keys -X page-up
1788556958.346786 args_parse_flags: next -Tcopy-mode
1788556958.346791 args_parse_flag_argument: -T = copy-mode
1788556958.346798 args_parse_flags: next M-v
1788556958.346815 args_parse: flags end at 2 of 4
1788556958.346821 args_parse: 2 = M-v (type STRING)
1788556958.346826 args_parse: 3 = send-keys -X page-up (type COMMANDS)
1788556958.346835 cmd_parse_build_commands: bind-key -T copy-mode M-v { send-keys -X page-up }
1788556958.346842 cmdq_get_command: [bind-key/0x55e89ab5b8e0] group 2029
1788556958.346848 cmdq_append <global>: [bind-key/0x55e89ab5b8e0]
1788556958.346854 yylex_token: end at WS
1788556958.346858 yylex_token: bind
1788556958.346863 yylex_token: end at WS
1788556958.346869 yylex_token: -Tcopy-mode
1788556958.346874 yylex_token: end at WS
1788556958.346880 yylex_token: M-w
1788556958.346886 yylex_token: end at WS
1788556958.346892 yylex_token: send
1788556958.346898 yylex_token: end at WS
1788556958.346904 yylex_token: -X
1788556958.346910 yylex_token: end at WS
1788556958.346915 yylex_token: copy-pipe-and-cancel
1788556958.346923 cmd_parse_build_commands 0:0: bind
1788556958.346927 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.346933 cmd_parse_build_commands 0:2: M-w
1788556958.346938 cmd_parse_build_commands 0:3 0:0: send
1788556958.346944 cmd_parse_build_commands 0:3 0:1: -X
1788556958.346950 cmd_parse_build_commands 0:3 0:2: copy-pipe-and-cancel
1788556958.346959 cmd_parse_build_commands 0:0: send
1788556958.346968 cmd_parse_build_commands 0:1: -X
1788556958.346974 cmd_parse_build_commands 0:2: copy-pipe-and-cancel
1788556958.346981 args_parse_flags: next -X
1788556958.346986 args_parse_flags: -X
1788556958.346991 args_parse_flags: next copy-pipe-and-cancel
1788556958.346996 args_parse: flags end at 2 of 3
1788556958.347002 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1788556958.347009 cmd_parse_build_commands: send-keys -X copy-pipe-and-cancel
1788556958.347015 args_parse_flags: next -Tcopy-mode
1788556958.347020 args_parse_flag_argument: -T = copy-mode
1788556958.347026 args_parse_flags: next M-w
1788556958.347031 args_parse: flags end at 2 of 4
1788556958.347037 args_parse: 2 = M-w (type STRING)
1788556958.347044 args_parse: 3 = send-keys -X copy-pipe-and-cancel (type COMMANDS)
1788556958.347051 cmd_parse_build_commands: bind-key -T copy-mode M-w { send-keys -X copy-pipe-and-cancel }
1788556958.347060 cmdq_get_command: [bind-key/0x55e89ab5be30] group 2037
1788556958.347066 cmdq_append <global>: [bind-key/0x55e89ab5be30]
1788556958.347073 yylex_token: end at WS
1788556958.347079 yylex_token: bind
1788556958.347085 yylex_token: end at WS
1788556958.347090 yylex_token: -Tcopy-mode
1788556958.347097 yylex_token: end at WS
1788556958.347102 yylex_token: M-x
1788556958.347107 yylex_token: end at WS
1788556958.347113 yylex_token: send
1788556958.347117 yylex_token: end at WS
1788556958.347123 yylex_token: -X
1788556958.347128 yylex_token: end at WS
1788556958.347134 yylex_token: jump-to-mark
1788556958.347140 cmd_parse_build_commands 0:0: bind
1788556958.347146 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.347151 cmd_parse_build_commands 0:2: M-x
1788556958.347157 cmd_parse_build_commands 0:3 0:0: send
1788556958.347161 cmd_parse_build_commands 0:3 0:1: -X
1788556958.347167 cmd_parse_build_commands 0:3 0:2: jump-to-mark
1788556958.347173 cmd_parse_build_commands 0:0: send
1788556958.347178 cmd_parse_build_commands 0:1: -X
1788556958.347184 cmd_parse_build_commands 0:2: jump-to-mark
1788556958.347191 args_parse_flags: next -X
1788556958.347197 args_parse_flags: -X
1788556958.347202 args_parse_flags: next jump-to-mark
1788556958.347206 args_parse: flags end at 2 of 3
1788556958.347212 args_parse: 2 = jump-to-mark (type STRING)
1788556958.347219 cmd_parse_build_commands: send-keys -X jump-to-mark
1788556958.347225 args_parse_flags: next -Tcopy-mode
1788556958.347230 args_parse_flag_argument: -T = copy-mode
1788556958.347236 args_parse_flags: next M-x
1788556958.347241 args_parse: flags end at 2 of 4
1788556958.347247 args_parse: 2 = M-x (type STRING)
1788556958.347253 args_parse: 3 = send-keys -X jump-to-mark (type COMMANDS)
1788556958.347260 cmd_parse_build_commands: bind-key -T copy-mode M-x { send-keys -X jump-to-mark }
1788556958.347267 cmdq_get_command: [bind-key/0x55e89ab5c320] group 2045
1788556958.347272 cmdq_append <global>: [bind-key/0x55e89ab5c320]
1788556958.347278 yylex_token: end at WS
1788556958.347284 yylex_token: bind
1788556958.347288 yylex_token: end at WS
1788556958.347294 yylex_token: -Tcopy-mode
1788556958.347299 yylex_token: end at WS
1788556958.347305 yylex_token: M-{
1788556958.347311 yylex_token: end at WS
1788556958.347317 yylex_token: send
1788556958.347323 yylex_token: end at WS
1788556958.347329 yylex_token: -X
1788556958.347336 yylex_token: end at WS
1788556958.347342 yylex_token: previous-paragraph
1788556958.347348 cmd_parse_build_commands 0:0: bind
1788556958.347355 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.347361 cmd_parse_build_commands 0:2: M-{
1788556958.347367 cmd_parse_build_commands 0:3 0:0: send
1788556958.347373 cmd_parse_build_commands 0:3 0:1: -X
1788556958.347379 cmd_parse_build_commands 0:3 0:2: previous-paragraph
1788556958.347386 cmd_parse_build_commands 0:0: send
1788556958.347392 cmd_parse_build_commands 0:1: -X
1788556958.347398 cmd_parse_build_commands 0:2: previous-paragraph
1788556958.347405 args_parse_flags: next -X
1788556958.347411 args_parse_flags: -X
1788556958.347421 args_parse_flags: next previous-paragraph
1788556958.347428 args_parse: flags end at 2 of 3
1788556958.347436 args_parse: 2 = previous-paragraph (type STRING)
1788556958.347443 cmd_parse_build_commands: send-keys -X previous-paragraph
1788556958.347449 args_parse_flags: next -Tcopy-mode
1788556958.347455 args_parse_flag_argument: -T = copy-mode
1788556958.347460 args_parse_flags: next M-{
1788556958.347466 args_parse: flags end at 2 of 4
1788556958.347472 args_parse: 2 = M-{ (type STRING)
1788556958.347479 args_parse: 3 = send-keys -X previous-paragraph (type COMMANDS)
1788556958.347488 cmd_parse_build_commands: bind-key -T copy-mode "M-{" { send-keys -X previous-paragraph }
1788556958.347495 cmdq_get_command: [bind-key/0x55e89ab5c8b0] group 2053
1788556958.347501 cmdq_append <global>: [bind-key/0x55e89ab5c8b0]
1788556958.347508 yylex_token: end at WS
1788556958.347513 yylex_token: bind
1788556958.347520 yylex_token: end at WS
1788556958.347526 yylex_token: -Tcopy-mode
1788556958.347532 yylex_token: end at WS
1788556958.347538 yylex_token: M-}
1788556958.347544 yylex_token: end at WS
1788556958.347550 yylex_token: send
1788556958.347555 yylex_token: end at WS
1788556958.347561 yylex_token: -X
1788556958.347567 yylex_token: end at WS
1788556958.347574 yylex_token: next-paragraph
1788556958.347580 cmd_parse_build_commands 0:0: bind
1788556958.347586 cmd_parse_build_commands 0:1: -Tcopy-mode
1788556958.347592 cmd_parse_build_commands 0:2: M-}
